Nmsg,Time,Ax,Ay,Az,Gx,Gy,Gz,Gfx,Gfy,Gfz,Roll,Pitch,Heading,Alt,Latitude,Longitude,Arsp,Presion,SBUS_Flags,Flight_Mode,Interruptor_1,Interruptor_2,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16,OUT_1,OUT_2,OUT_3,OUT_4,OUT_5,OUT_6,OUT_7,OUT_8,OUT_9,OUT_10
18329,183077,0.024148911,0.3702461,9.71938,0.00589567,-0.0040358133,0.0044542355,0.0,0.0,0.0,2.3334987,-0.15882494,-55.254425,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18330,183087,0.024148911,0.3702461,9.71938,0.00589567,-0.0040358133,0.0044542355,0.0,0.0,0.0,2.3334987,-0.15882494,-55.254425,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18331,183097,0.03496629,0.39562026,9.821848,0.0067192665,-0.0059616044,0.0032489519,0.0,0.0,0.0,2.3317099,-0.16343096,-55.25588,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18332,183107,0.03496629,0.39562026,9.821848,0.0067192665,-0.0059616044,0.0032489519,0.0,0.0,0.0,2.3317099,-0.16343096,-55.25588,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18333,183117,0.0042617023,0.38783526,9.72605,0.005311258,-0.0041691437,0.004011424,0.0,0.0,0.0,2.333844,-0.15841983,-55.25497,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18334,183127,0.0042617023,0.38783526,9.72605,0.005311258,-0.0041691437,0.004011424,0.0,0.0,0.0,2.333844,-0.15841983,-55.25497,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18335,183137,0.0042617023,0.38783526,9.72605,0.005311258,-0.0041691437,0.004011424,0.0,0.0,0.0,2.333844,-0.15841983,-55.25497,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18336,183147,0.011986136,0.38557172,9.750294,0.006107171,-0.006162852,0.0034371724,0.0,0.0,0.0,2.3329272,-0.1591593,-55.255947,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18337,183157,0.011986136,0.38557172,9.750294,0.006107171,-0.006162852,0.0034371724,0.0,0.0,0.0,2.3329272,-0.1591593,-55.255947,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18338,183167,0.036718816,0.38002217,9.732497,0.006933876,-0.0022462164,0.003429339,0.0,0.0,0.0,2.3339648,-0.15921395,-55.25545,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
